name,lat,lon,category
Aldi,-34.0285778,150.8491152,supermarket
Aldi,-34.0265111,150.7787551,supermarket
Aldi,-33.9963476,150.7923122,supermarket
Aldi,-33.9946629,150.7245064,supermarket
Aldi,-33.984893,150.892112,supermarket
Aldi,-33.9768323,151.1245081,supermarket
Aldi,-33.9663598,151.1061192,supermarket
Aldi,-33.9543732,150.8582646,supermarket
Aldi,-33.95218,151.0510396,supermarket
Aldi,-33.9486298,150.8999046,supermarket
Aldi,-33.9412895,151.238897,supermarket
Aldi,-33.9390557,150.8446601,supermarket
Aldi,-33.928004,150.9077254,supermarket
Aldi,-33.9244736,151.0793615,supermarket
Aldi,-33.9243293,151.2122813,supermarket
Aldi,-33.9218111,150.9229388,supermarket
Aldi,-33.9186845,150.8550807,supermarket
Aldi,-33.9137362,151.0340227,supermarket
Aldi,-33.9106127,151.1199892,supermarket
Aldi,-33.9064459,151.1727889,supermarket
Aldi,-33.8998685,150.9927387,supermarket
Aldi,-33.897751,151.2122218,supermarket
Aldi,-33.8933863,150.89011,supermarket
Aldi,-33.8931329,151.2482153,supermarket
Aldi,-33.8825123,150.9767524,supermarket
Aldi,-33.8792614,151.2355134,supermarket
Aldi,-33.8685542,150.9232071,supermarket
Aldi,-33.8683497,150.9582151,supermarket
Aldi,-33.8635658,151.0879724,supermarket
Aldi,-33.8520541,151.0317336,supermarket
Aldi,-33.8509187,150.9095217,supermarket
Aldi,-33.849482,150.9965869,supermarket
Aldi,-33.8492864,151.0486602,supermarket
Aldi,-33.8391632,151.208347,supermarket
Aldi,-33.8347102,150.9885033,supermarket
Aldi,-33.8237568,151.1240415,supermarket
Aldi,-33.8173448,151.0000983,supermarket
Aldi,-33.816051,150.9697549,supermarket
Aldi,-33.8130731,151.1060339,supermarket
Aldi,-33.8126989,151.0420988,supermarket
Aldi,-33.7975012,151.1841794,supermarket
Aldi,-33.7893949,150.890104,supermarket
Aldi,-33.7891562,150.8899679,supermarket
Aldi,-33.7776316,151.1213817,supermarket
Aldi,-33.7768245,151.1203324,supermarket
Aldi,-33.7751676,150.9338876,supermarket
Aldi,-33.7699808,150.7714345,supermarket
Aldi,-33.7698463,150.9046957,supermarket
Aldi,-33.7655226,150.827603,supermarket
Aldi,-33.7587504,150.9914378,supermarket
Aldi,-33.7503212,150.6912771,supermarket
Aldi,-33.729437,151.0061383,supermarket
Aldi,-33.7197659,150.9192853,supermarket
