name,lat,lon,mode
Hawkesbury River Station,-33.54684344,151.22657548,train
Hawthorne Light Rail,-33.87953059,151.14722768,light_rail
Haymarket Light Rail,-33.88139919,151.20524224,light_rail
Hazelbrook Station,-33.72368467,150.45415753,train
Heathcote Station,-34.08791879,151.00833242,train
Helensburgh Station,-34.17705075,150.99425973,train
Hexham Station,-32.82904693,151.68423079,train
High Street Station,-32.74146174,151.56407488,train
Hilldale Station,-32.50431666,151.64987977,train
Hills Showground Station,-33.72791245,150.98702465,metro
Holsworthy Station,-33.96319517,150.95658976,train
Homebush Station,-33.86668795,151.08619478,train
Honeysuckle Light Rail,-32.92646158,151.76574844,light_rail
Hornsby Station,-33.70347479,151.09835973,train
Hurstville Station,-33.96744133,151.10269428,train
Ingleburn Station,-33.99748219,150.86457694,train
International Airport Station,-33.93497091,151.16584068,train
Jannali Station,-34.01610952,151.06464581,train
John Street Square Light Rail,-33.86730371,151.19216125,light_rail
Jubilee Park Light Rail,-33.8754205,151.17868917,light_rail
Juniors Kingsford Light Rail,-33.92516263,151.22932487,light_rail
Katoomba Station,-33.71203514,150.31166184,train
Kellyville Station,-33.71337441,150.93523145,metro
Kembla Grange Station,-34.47018181,150.81760282,train
Kensington Light Rail,-33.90922115,151.22339227,light_rail
Kiama Station,-34.67266689,150.8544551,train
Killara Station,-33.76569908,151.16184659,train
Kings Cross Station,-33.87448343,151.2222282,train
Kingsford Light Rail,-33.92205655,151.22690151,light_rail
Kingsgrove Station,-33.94048235,151.10081465,train
Kingswood Station,-33.75842011,150.72053259,train
Kirrawee Station,-34.03497564,151.07121805,train
Kogarah Station,-33.96254149,151.13248719,train
Koolewong Station,-33.46639025,151.31850646,train
Kotara Station,-32.94158666,151.69783908,train
Lapstone Station,-33.77345788,150.64280498,train
Lawson Station,-33.7191006,150.42980295,train
Leichhardt North Light Rail,-33.87497192,151.15415771,light_rail
Leightonfield Station,-33.88148108,150.98489517,train
Leppington Station,-33.95445703,150.80817012,train
Leumeah Station,-34.05067661,150.83060671,train
Leura Station,-33.71207455,150.33095833,train
Lewisham Station,-33.89341703,151.14770641,train
Lewisham West Light Rail,-33.89383232,151.14340478,light_rail
Lidcombe Station,-33.86375583,151.04512981,train
Lilyfield Light Rail,-33.87417369,151.16497483,light_rail
Linden Station,-33.71489917,150.50520665,train
Lindfield Station,-33.77552136,151.16927068,train
Lisarow Station,-33.38209529,151.37017048,train
Lithgow Station,-33.48066213,150.156808,train
Liverpool Station,-33.92492704,150.92732848,train
Lochinvar Station,-32.72051037,151.45018468,train
Loftus Station,-34.04522117,151.05131573,train
Lysaghts Station,-34.45464259,150.87607125,train
Macarthur Station,-34.07199134,150.79716422,train
Macdonaldtown Station,-33.89695934,151.18569469,train
Macquarie Fields Station,-33.98485908,150.87882445,train
Macquarie Park Station,-33.78507995,151.12837418,metro
Macquarie University Station,-33.77728198,151.11826703,metro
Maitland Station,-32.73800633,151.55209853,train
Marayong Station,-33.74609965,150.90017109,train
Marion Light Rail,-33.88389956,151.14511676,light_rail
Martin Place Station,-33.86764769,151.21058267,metro
Martin Place Station,-33.86764769,151.21058267,train
Martins Creek Station,-32.55864517,151.61846534,train
Marulan Station,-34.70952313,150.00611951,train
Mascot Station,-33.92317637,151.1873354,train
Meadowbank Station,-33.81579356,151.09010555,train
Medlow Bath Station,-33.6735552,150.28064561,train
Menangle Park Station,-34.10356765,150.74497444,train
Menangle Station,-34.12534919,150.74436474,train
Merrylands Station,-33.83668568,150.99248668,train
Metford Station,-32.765202,151.61823769,train
Milsons Point Station,-33.8459361,151.21183697,train
Mindaribba Station,-32.66833861,151.58450215,train
Minnamurra Station,-34.62633152,150.85282021,train
Minto Station,-34.02744354,150.84249432,train
Miranda Station,-34.03625439,151.10209197,train
Mittagong Station,-34.45254929,150.44834624,train
Moore Park Light Rail,-33.89363632,151.22175819,light_rail
Morisset Station,-33.10896063,151.48814873,train
Mortdale Station,-33.9710471,151.08100076,train
Moss Vale Station,-34.54797724,150.37174595,train
Mount Colah Station,-33.67174586,151.11469754,train
Mount Druitt Station,-33.76955803,150.82012586,train
Mount Kuring-gai Station,-33.65358907,151.13682391,train
Mount Victoria Station,-33.58820075,150.25692324,train
Mulgrave Station,-33.6265162,150.83003584,train
Museum Station,-33.8755711,151.20994628,train
Muswellbrook Station,-32.26742607,150.89041644,train
Narara Station,-33.39461057,151.34452641,train
Narwee Station,-33.94767733,151.07058514,train
Newcastle Beach Light Rail,-32.9275017,151.78633284,light_rail
Newcastle Interchange,-32.92404091,151.75908192,light_rail
Newcastle Interchange,-32.92404091,151.75908192,train
Newtown Station,-33.89791301,151.17937737,train
Ngara Light Rail,-33.80146212,151.0013821,light_rail
Niagara Park Station,-33.38307663,151.35458344,train
Normanhurst Station,-33.72082663,151.0970721,train
North Ryde Station,-33.79421813,151.13798663,metro
North Strathfield Station,-33.85918843,151.08818062,train
North Sydney Station,-33.84115005,151.20741233,train
North Wollongong Station,-34.41227335,150.89138888,train
